afford,/əˈfôrd/,permitirse
flog,/flɑːɡ,azotar
dig,/dɪɡ/,cavar
grovel,/ˈɡrɑː.vəl/,arrastrar
vanish,/ˈvæn.ɪʃ/,desvanecerse
deserve,/dɪˈzɝːv/,merecer
flunk,/flʌŋk/,suspender
untangle,/ʌnˈtæŋ.ɡəl/,desenredar
fade,/feɪd/,descolorarse
witness,/ˈwɪt.nəs/,presenciar
gnaw,/nɑː/,roer
entomb,/ɪnˈtuːm/,enterrar
snuck,/snʌk/,escabullirse
prick,/prɪk/,pinchar
struggle,/ˈstrʌɡ.əl/,luchar
sweep,/swiːp/,barrer
engulf,/ɪnˈɡʌlf/,sumergir
scoot,/skuːt/,largarse
stumble,/ˈstʌm.bəl/,tropezar
whisk,/wɪsk/,batir
groan,/ɡroʊn/,gemir
moan,/moʊn/,gemir
fold,/foʊld/,doblar
shudder,/ˈʃʌd.ɚ/,estremecerse
squeeze,/skwiːz/,exprimir
stagger,/ˈstæɡ.ɚ/,tambalear
stare,/ster/,mirar fijamente
dare,/der/,atreverse
creak,/kriːk/,crujir
scratch,/skrætʃ/,rasguñar
rumble,/ˈrʌm.bəl/,retumbar
sigh,/saɪ/,suspirar
yell,/jel/,gritar
surround,/səˈraʊnd/,rodear
gather,/ˈɡæð.ɚ/,reunir
nudge,/nʌdʒ/,empujar
swat,/swɑːt/,aplastar
leap,/liːp/,saltar
flinch,/flɪntʃ/,retroceder
stomp,/stɑːmp/,pisar fuerte
snatch,/snætʃ/,arrebatar
wail,/weɪl/,gemir
realize,/ˈriː.ə.laɪz/,darse cuenta
limp,/lɪmp/,cojear
shred,/ʃred/,desgarrar
beseech,/bɪˈsiːtʃ/,implorar
cringe,/krɪndʒ/,encogerse
gape,/ɡeɪp/,mirar boquiabierto
conceal,/kənˈsiːl/,encubrir
savor,/ˈseɪ·vər/,saborear
bark,/bɑːrk/,ladrar
clench,/klentʃ/,apretar
resort,/rɪˈzɔːrt/,recurrir
grovel,/ˈɡrɑː.vəl/,arrastrarse
linger,/ˈlɪŋ.ɡɚ/,persistir
gut,/ɡʌt/,destripar
tilt,/tɪlt/,inclinar
subside,/səbˈsaɪd/,disminuir
beg,/beɡ/,mendigar
bent,/bent/,doblar
sink,/sɪŋk/,hundir
endow,/ɪnˈdaʊ/,dotar
rub,/rʌb/,frotar
behave,/bɪˈheɪv/,comportarse
spit,/spɪt/,escupir
itch,/ɪtʃ/,picar (comezón)
bloat,/bloʊt/,inflar
brawl,/brɑːl/,pelearse
banter,/ˈbæn.t̬ɚ/,bromear
wield,/wiːld/,empuñar
smash,/smæʃ/,aplastar
haggle,/ˈhæɡ.əl/,regatear
shirk,/ʃɝːk/,eludir
forsake,/fɔːrˈseɪk/,abandonar
hum,/hʌm/,tararear
gossip,/ˈɡɑː.səp/,chismear
wrestle,/ˈres.əl/,luchar
huddle,/ˈhʌd.əl/,acurrurcarse|amontonarse
flood,/flʌd/,inundar
